代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
600103.SH,20250918,青山纸业,4.85,6.83,333693.41,759048.2028849999,4100.6633,-5.066079295154191,,,,
600410.SH,20250918,华胜天成,23.8,6.82,1119299.69,2609657.34554,8299.2692,-2.603231597845612,,,,
002011.SZ,20250918,盾安环境,13.8,6.81,144206.73,787368.0058800001,132.973,-0.07739938080495445,,,,
002745.SZ,20250918,木林森,9.88,6.81,140806.98,886917.0343280002,129.6332,-0.324324324324321,,,,
600822.SH,20250918,上海物贸,13.19,6.8,79192.88,207837.396774,91.8596,0.24291497975710286,,,,
002108.SZ,20250918,沧州明珠,4.28,6.73,128784.72,566074.161468,816.612,1.7456359102244523,,,,
002487.SZ,20250918,大金重工,43.52,6.72,215822.72,1656733.9827200002,591.371,-0.19617459538989745,,,,
600284.SH,20250918,浦东建设,9.89,6.69,82225.28,604539.7864430001,84.072,0.3236245954692629,,,,
000610.SZ,20250918,西安旅游,15.0,6.69,89055.54,241128.1815,542.376,-0.7823613086771042,,,,
688210.SH,20250918,统联精密,57.37,6.64,71570.94,581073.6284119999,529.694,2.230483271375472,,,,
301031.SZ,20250918,中熔电气,112.38,6.59,78537.09,591878.567466,63.33,0.11381959594043423,,,,
831370.BJ,20250918,新安洁,5.52,6.56,25762.64,74514.536304,59.634916000000004,-0.19305019305019266,,,,
688072.SH,20250918,拓荆科技,213.98,6.56,330895.8,3558447.1717600003,950.1,-1.3844621513944277,,,,
300548.SZ,20250918,长芯博创,127.78,6.54,455244.75,2678600.018538,1767.2985,-0.7753876938469184,,,,
603316.SH,20250918,诚邦股份,12.29,6.5,51549.71,168270.616926,537.7645,-0.5199306759098632,,,,
688143.SH,20250918,长盈通,50.64,6.48,42628.88,478662.324864,53.0931,-1.156433978132898,,,,
002148.SZ,20250918,北纬科技,12.15,6.39,214745.04,509588.27001,3666.732,3.327495621716303,,,,
603683.SH,20250918,晶华新材,32.98,6.39,70905.76,516755.20680199994,440.3157,0.0967741935483879,,,,
002463.SZ,20250918,沪电股份,75.42,6.38,650439.42,10060419.843288,2886.22593,-1.0719322990127012,,,,
603033.SH,20250918,三维股份,13.22,6.27,39181.61,507877.516386,9.2056,0.0,,,,
831278.BJ,20250918,泰德股份,13.47,6.23,15436.54,83238.072438,25.130489999999998,-0.23659305993690705,,,,
000428.SZ,20250918,华天酒店,4.12,6.19,60336.51,188085.03696,368.28963999999996,0.2577319587628857,,,,
002236.SZ,20250918,大华股份,19.84,6.1,539715.69,3654883.3383680005,485.2224,0.10695187165774556,,,,
002892.SZ,20250918,科力尔,16.97,6.06,161439.97,645808.8011849999,1493.127018,2.0624999999999893,,,,
688367.SH,20250918,工大高科,21.07,6.04,12218.47,118175.386959,12.7944,0.4534474081529849,,,,
